OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,name_sam
1,Lake,11,Staff Sergeant Michael A. Bock Memorial Highway,"That portion of S.R. 44/South Street between C.R. 44/Main Street and U.S. 27/S.R. 25/14th Street in Lake County is designated as ""Staff Sergeant Michael A. Bock Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5,South Street, ,, ,, ,1,3682.26627279,1,f41a17ea-c05f-4fad-9eb7-b86a5b6705dc,4205.75517854103,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Larry_Jordan_%28basketball%29,no,1946-02-12,Found,35,TRUE,seq=4.8; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Larry Jordan was an American professional basketball player and executive born on February 12, 1946. He played collegiately at the University of San Francisco before being drafted by the Baltimore Bullets in the 1968 NBA Draft. Jordan later transitioned into an executive role, working in front-office positions for NBA teams like the Portland Trail Blazers and Seattle SuperSonics. His contributions spanned both on-court performance and behind-the-scenes leadership in professional basketball until his death on March 1, 2024.",['University of San Francisco'],2024-03-01,"Oakland, California, United States",not found,male,yes,no,no,no,Staff Sergeant Michael A. Bock
2,Lake,11,Sergeant Jess Thomas Memorial Highway,"That portion of S.R. 50 between the Sumter County line and Lee Road in Lake County is designated as ""Sergeant Jess Thomas Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5, , ,, ,, ,2,2828.56538745,1,4340ac12-3925-4339-9cf7-cbae3ddb8b8b,3219.98284818725,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Henry_Nash,no,1869-01-01,Found,55.7,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Henry Nash (1869–1947) was an American educator, soldier, and politician best known for his service as a member of the Rough Riders during the Spanish-American War. Born in Illinois, he later became a prominent figure in Arizona Territory, where he engaged in local politics and education. Nash also served as a Thomasite teacher in the Philippines, contributing to the American colonial education system there. His military and civic roles cemented his legacy as a key figure in late 19th and early 20th-century American expansionism.",,1947-01-01,not found,not found,male,no,yes,yes,no,Sergeant Jess Thomas
3,Lake,11,Specialist Ronald Gaffney Memorial Highway,"That portion of S.R. 50 between S.R. 33 and C.R. 565A in Lake County is designated as ""Specialized Ronald Gaffney Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5, , ,, ,, ,3,2819.85119127,1,a87e0cc3-7ec0-468e-a651-3960ac14f5a1,3209.06253893097,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,no,1916-10-26,Found,30.4,TRUE,seq=6.4; last-mismatch:-4; human:+40; fl-miss:-10,"François Mitterrand was born on October 26, 1916, and died on January 8, 1996. He served as the President of France from 1981 to 1995, becoming the longest-serving French president in history and the first Socialist to hold the office under the Fifth Republic. A lawyer by profession, he played a pivotal role in shaping modern France through policies like decentralization, cultural reforms, and European integration. Mitterrand's political career spanned decades, marked by his leadership during the Resistance in World War II and his influence in post-war French politics.","[""Sciences Po (Institut d'Études Politiques de Paris)"", 'École Libre des Sciences Politiques', 'Licence in law, University of Paris']",1996-01-08,"Jarnac, Charente, France","Paris, Île-de-France, France",male,no,yes,yes,no,Specialist Ronald Gaffney
4,Duval,72,Jim Tullis Memorial Boulevard,"That portion of S.R. 109/University Boulevard between Clifton Avenue and Fort Caroline Road in Duval County is designated as ""Jim Tullis Memorial Boulevard.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,2,University Boulevard, ,, ,, ,4,4984.61142349,1,21ac93eb-f0cb-4e3a-94f8-cf6fa8b2c58f,5798.43637708488,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Jim_Tullis,no,1941-01-01,Found,70,TRUE,seq=20.0; human:+40; fl:+10,"Jim Tullis was an American politician who served in the Florida House of Representatives and the Jacksonville City Council. Born in 1941, he was known for his contributions to local governance and public service in Florida. Tullis held office in the Florida House from 1982 to 1990, representing parts of Duval County. He passed away in 2023, leaving behind a legacy of civic engagement and legislative work.",,2023-01-01,not found,not found,male,no,yes,no,no,Jim Tullis
5,Bay,46,Allan Bense Highway,"That portion of U.S. 231/S.R. 75 between the Jackson County line and U.S. 98B/S.R. 30 in Bay County is designated as ""Allan Bense Highway.""",US-231,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3, , ,, ,, ,5,54254.145354,0,36b91bbb-7988-4aa0-99f4-3a49add5dbb8,62910.6833575022,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Allan_Bense,yes,1947-10-25,Found,75,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Allan Bense was an American businessman and politician born on October 25, 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also a prominent real estate developer in Panama City, Florida, contributing to the region's economic growth. He passed away on July 10, 2014, leaving behind a legacy in both business and state governance.",,2014-07-10,not found,"Panama City, Florida, United States",male,no,yes,no,no,Allan Bense
6,Brevard,70,"Dr. Martin Luther King Jr., Memorial Highway","That portion of S.R. 519/Fiske Boulevard located within the corporate limits of the City of Cocoa in Brevard County is designated as ""Dr. Martin Luther King Jr., Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5,Fiske Boulevard, ,, ,, ,6,2696.71081504,0,662589b0-786d-45cb-ad2f-408d70ed2096,3079.42645471574,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,yes,1929-01-15,Found,55,TRUE,seq=18.3; human:+40; fl-miss:-10; us:+5,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders in the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent civil disobedience, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. King delivered the iconic 'I Have a Dream' speech during the 1963 March on Washington and played a pivotal role in landmark legislation like the Civil Rights Act (1964) and Voting Rights Act (1965). He was assassinated on April 4, 1968, in Memphis, Tennessee, but his legacy endures as a symbol of justice, equality, and peaceful protest worldwide.","['Morehouse College, B.A. in Sociology (1948)', 'Crozer Theological Seminary, Bachelor of Divinity (1951)', 'Boston University, Ph.D. in Systematic Theology (1955)']",1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no,Dr. Martin Luther King Jr.
7,Broward,86,Dr. Von Mizell Drive,"That portion of S.R. A1A/Ocean Drive between S.R. 822/Sheridan Street and Cambridge Street in Broward County is designated as ""Dr. Von Mizell Drive.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,4,Ocean Drive, ,, ,, ,7,2061.04020611,0,11c28ca5-5a48-4909-abb9-6bf343bffc79,2305.61883148998,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Von_Delany_Mizell,no,1904-01-01,Found,66.9,TRUE,seq=12.9; human:+40; fl:+10,"Von Delany Mizell was an American businessman and entrepreneur best known for his contributions to the development of Miami's Overtown neighborhood. Born in 1904, he became a prominent figure in the African American community through his real estate ventures and civic engagement. Mizell co-founded the Lyric Theater in 1913, a historic cultural hub for Black artists and performers during the segregation era. His legacy endures through the Ethel Mizell Pappy Collection, which preserves artifacts and documents related to his family’s impact on Miami’s history and culture.",,,not found,not found,male,no,no,no,yes,Dr. Von Mizell
8,Broward,86,Robert L. Clark Memorial Highway,"That portion of U.S. 1/S.R. 5/N.E. 6th Avenue between Ponce de Leon Drive and S.R. 84/S.E. 24th Street in Broward County is designated as ""Robert L. Clark Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,4,N.E. 6th Avenue, ,, ,, ,8,1892.61387448,0,26feb5fd-618a-4378-98af-38a6e63f6555,2118.27353676697,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Eugenie_Clark,no,1922-05-04,Found,69,TRUE,seq=10.0; human:+40; fl:+10; us:+5,"Eugenie Clark (1922–2015) was a pioneering American ichthyologist known as the 'Shark Lady' for her groundbreaking research on sharks and fish behavior. Born in New York City, she earned a Ph.D. in zoology and dedicated her career to marine biology, founding the Cape Haze Marine Laboratory in Florida. Clark's work debunked myths about sharks, advanced deep-sea diving techniques, and promoted ocean conservation through her scientific publications and public outreach. Her legacy includes numerous awards, mentorship of future scientists, and lasting contributions to marine science until her death at age 92 in Sarasota, Florida.","['Hunter College, Bachelor of Arts (1942)', 'New York University, Master of Arts in Zoology (1946)', 'New York University, Doctor of Philosophy in Zoology (1950)']",2015-02-25,"New York City, New York, United States","Sarasota, Florida, United States",female,no,no,no,no,Robert L. Clark
9,Citrus,2,Sheriff Charles Simeon Dean Highway,"That portion of S.R. 44 between the Sumter County line and U.S. 41/S.R. 44/S.R. 45 in Citrus County is designated as ""Sheriff Charles Simeon Dean Highway.""",SR-44,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,7, , ,, ,, ,9,10787.3190257,0,17d10efe-cf4a-4d59-8574-0b1118b66b84,12314.9213683023,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Theodore_Roosevelt,no,1858-10-27,Found,30,TRUE,seq=5.3; last-mismatch:-4; human:+40; fl-miss:-10,"Theodore Roosevelt (1858–1919) was the 26th President of the United States, serving from 1901 to 1909 after ascending to the office following William McKinley's assassination. Known for his progressive policies, he championed trust-busting, conservationism, and the construction of the Panama Canal, earning him a reputation as a dynamic reformer. A prolific writer and naturalist, Roosevelt also served as a soldier, leading the Rough Riders during the Spanish-American War. His leadership and charisma cemented his legacy as one of America’s most influential and energetic presidents.","['Harvard College, Bachelor of Arts (1880)', 'Columbia Law School (attended, no degree)']",1919-01-06,"New York City, New York, United States","Oyster Bay, New York, United States",male,yes,yes,yes,no,Sheriff Charles Simeon Dean
10,Gadsden,50,James Harold Thompson Highway,"That portion of U.S. 90/S.R. 10 between Gretna and Chattahoochee in Gadsden County is designated as ""James Harold Thompson Highway.""",US-90,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3, , ,, ,, ,10,16490.9630427,0,e7faf215-4079-4a01-b491-ab59d7de5f7b,19170.1246920045,,,,,,,,,,,,,https://en.wikipedia.org/wiki/James_Harold_Thompson,no,1906-01-01,Found,75,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"James Harold Thompson was an American politician who served as the 41st Governor of Mississippi from 1980 to 1984. Born in 1906, he was a member of the Democratic Party and played a role in Mississippi's political landscape during the mid-20th century. Thompson's tenure as governor was marked by efforts to modernize the state's infrastructure and education system. He passed away in 1969, leaving behind a legacy in Mississippi's political history.",,1969-01-01,not found,not found,male,no,yes,no,no,James Harold Thompson
