OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
1,Green Arrow Route,M-66,250.1017,"The portion of highway M-66 beginning at the intersection with highway M-78 in Calhoun County and extending north to the intersection with highway US-131 in Kalkaska County shall be known as the ""Green Arrow Route"".",250-1017,"To capitalize on the opening of the Mackinac Bridge in 1957, local leaders in Battle Creek wanted to promote M-66 as a route north from Indiana to the bridge. They named the highway the Green Arrow Route as part of this marketing strategy. The color was to evoke the forests in the area, and arrow was meant to play on several historical connections. M-66 was given the Green Arrow Route name in Public Act 170 of 1959 between the Indiana state line and Kalkaska. ",{1BA9C95D-B9AC-4DC5-A776-64BD5772774B}
2,Green Arrow Route-Mackinac Trail,"US-131,US-31",250.1017,The portion of highway US-131 beginning at the intersection with highway M-66 and extending north to the intersection with highway US-31 and the portion of highway US-31 beginning at the intersection with highway US-131 and extending north to the straits,250-1017,"To capitalize on the opening of the Mackinac Bridge in 1957, local leaders in Battle Creek wanted to promote M-66 as a route north from Indiana to the bridge. They named the highway the Green Arrow Route as part of this marketing strategy. The color was to evoke the forests in the area, and arrow was meant to play on several historical connections. M-66 was given the Green Arrow Route name in Public Act 170 of 1959 between the Indiana state line and Kalkaska. ",{548A2C7B-084B-414F-86B5-5854CB4DB68E}
3,Charles J. Rogers Interchange,"I-75,M-8",250.1024,"The highway interchange at highway I-75 and highway M-8 shall be known as the ""Charles J. Rogers Interchange"".",250-1024,Charles Rogers was a Wayne County Road Commissioner for many years and MDOT designated a memorial sign along the expressway to commemorate his years of service as a commissioner.  ,{A1C8EBDB-3445-4963-A451-CCB4C7A2F2CC}
4,SPC Robert Friese Memorial Highway,BR-127,250.1009b,"Business Route 127 in Clare County shall be known as the ""SPC Robert Friese Memorial Highway.""",250-1009b,"Army SPC Robert Friese died on April 29, 2011, in Iraq after being attacked by enemy forces. He was born in Clare, Michigan, and graduated from Harrison High School in 2007. SPC Friese enlisted in the Army in 2010 as a Tanker and was stationed at Fort Hood, Texas, with the 3rd Armored Cavalry Regiment until he was deployed to Iraq in January 2011. SPC Friese was awarded the Purple Heart and promoted to Specialist posthumously.",{3231004E-094B-4509-98A2-84E39C981D38}
5,Tuskegee Airmen Memorial Highway,I-75,250.1084,"The portion of highway I-75 within the state of Michigan shall be known as the ""Tuskegee Airmen Memorial Highway"".",250-1084,The Tuskegee Airmen is the popular name of a group of African-American military fighter and bomber pilots who fought in World War II. They formed the 332nd Fighter Group and the 477th Bombardment Group of the United States Army Air Forces. The Tuskegee Airmen were the first African-American military aviators in the United States Armed forces.,{B8B8A317-5006-4826-BC22-BCAB2B0B0F00}
6,David Warsen Memorial Highway,M-6,250.1094,"The portion of highway M-6 in Kent county beginning at the intersection of M-6 and Kalamazoo avenue and continuing west to the intersection of M-6 and Byron Center avenue shall be known as the ""David Warsen Memorial Highway"".",250-1094,"David Warsen graduated from East Kentwood High School in 2004. After attending local colleges, he enlisted in the Navy in 2009 and later joined the Navy SEALs. He was sent to Afghanistan in December 2011. In August 2012, Warsen was on a Special Operations mission in the Shah Wali Kot district of Kandahar with 10 other American and Afghan personnel when their Blackhawk UH60 helicopter was shot down by Taliban fighters. All on board were killed. Warsen was the recipient of a number of medals and honors, including the Bronze Star with Valor, Purple Heart, Meritorious Service Medal, Army Commendation Medal with Valor, Combat Action Ribbon, Afghanistan Campaign Medal, Global War on Terrorism Expeditionary Medal, Global War on Terrorism Service Medal, Sea Service Deployment Ribbon, the NATO Service Medal, Expert Rifle Marksmanship Medal and the Expert Pistol Marksmanship Medal. ",{312D3B9B-388F-4CAC-AB60-9B99B1740599}
7,Earle Memorial Highway,M-53,250.1006,"Highway M-53 extending from the city of Detroit north to M-25 in Huron County shall be known as the ""Earle Memorial Highway"".",250-1006,"Before a mile of Michigan roadway was paved or a centerline painted, before Henry Ford rolled his first Model A off the assembly line, there was Horatio ""Good Roads"" Earle. At the turn of the century, this young entrepreneur and bicycle enthusiast was president of the League of American Wheelmen. This group, founded in 1880, fought for better roads and streets and the rights of bicyclists to use them. In 1892, they convinced the Michigan legislature to establish a state highway commission to recommend road improvements. Earle was a visionary; as early as 1901, he envisioned a system of roads that would connect every major city and every state capital. He founded the American Road Makers of 1902, which later became the American Road and Transportation Builders Association and lobbied for federal funding of road construction. Earle's zeal on behalf of the good-roads movement brought him national prominence and focused the attention of Michigan residents on the roads issue. In 1905, voters in 83 Michigan counties approved an amendment to the state's constitution authorizing state spending for roads, and creating the Michigan State Highway Department. The new department set up business in the office of the Speaker of the House in the State Capitol with an annual operating budget of $10,000 and a staff of five. Earle became the state's first highway commissioner.",{4EB72117-B01C-4E2D-9EE3-9E466BEE6552}
8,G. Mennen Williams Highway and Prentiss M. Brown Memorial Highway,I-75,250.1027,"The portion of highway I-75 in Cheboygan and Mackinac counties shall be known as the ""G. Mennen Williams Highway"" and the ""Prentiss M. Brown Memorial Highway"".",250-1027,"Gerhard Mennen “Soapy” Williams was a politician from Michigan who served for twelve years as its 41st Governor, from 1949 to 1961. Born on February 23, 1911 in Detroit, Michigan, Williams earned the nickname “Soapy” because his maternal grandfather was the founder of the Mennen brand of men’s personal care products, now marketed by the Colgate-Palmolive company, which made Williams an instant heir to his grandfather’s fortune. After running on a platform that supported organized labor and civil rights, Williams was elected as the 41st Governor of Michigan on November 2, 1948. He was inaugurated on January 1, 1949, and was subsequently re-elected five times, supported by a liberal labor coalition.                                                         Prentiss Marsh Brown, a Representative and a Senator from Michigan; born in St. Ignace, Mackinac County, Mich., June 18, 1889; attended the public schools, and the University of Illinois at Urbana; graduated from Albion (Mich.) College in 1911; studied law; admitted to the bar in 1914 and commenced practice in St. Ignace, Mich.; prosecuting attorney of Mackinac County 1914-1926; city attorney of St. Ignace 1916-1928; chairman of the Mackinac Bridge Authority until his death; resided in St. Ignace, Mich., where he died December 19, 1973; interment in Lakeside Cemetery. ",{36B66669-91DC-48A6-8F20-3022D8175C79}
9,Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway,M-15,250.1015a,"The portion of highway M-15 in the city of Vassar shall be known as the ""Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway.""",250-1015a,"Specialist Fifth Class Michael Fredric May was part of an eleven-man Special Forces team conducting a reconnaissance mission inside Cambodia in 1969 when the team was attacked and he was killed. He entered the United States Army in 1967 after attending Western Michigan University for two years. He was an outstanding Vassar High School athlete, excelling in basketball, football, and track. His remains were not recovered. He was 22 years old.                                                                                        Marine Corporal Christopher E. Esckelson of Vassar was killed during a firefight in Iraq December 28, 2006 after taking a direct hit to his flak jacket. He was serving with the 1st Battalion, 24th Marine regiment. He joined the Marine Corps in October, 2002 after graduating from Vassar High School, where he was a three-sport athlete.  He was 22 years old.  ",{72CF0011-8442-455D-9EA3-D5F17408EA76}
10,Pulaski Memorial Highway,US-12,250.1012,"The portion of highway US-12 beginning at highway M-1 in the city of Detroit and extending west to Lake Michigan shall be known as the ""Pulaski Memorial Highway"".",250-1012,"Named in honor of a Polish patriot and soldier Count Casimir Pulaski, who was born at Podolia, Poland in 1748. He arrived in America in July of 1777, and served under Anthony Wayne. In March of 1778, he organized an independent corps of cavalry. In February of 1779, he arrived in South Carolina to aide General Benjamin Lincoln, During the siege of Savannah, he was hit by grape shot and died October 11, 1779.",{BF27A608-ADB2-4BF8-B5DB-12DB1E8B23F8}
