_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
1,“Farm-to-Fork Corridor”,99,3,"ACR 44, CH 107, 2019",Junction with State Route 70 around (PM R8.109),Garden Highway UC# 18-25 (PM 11.975)
2,10th Mountain Division Memorial Highway,89,3,"SCR 43, CH 106, 1997",Tahoe City,City of Truckee
3,100th Infantry Battalion Memorial Highway,99,6,"ACR 62, CH 115, 1994",City of Fresno,City of Madera
4,442nd Regimental Combat Team Memorial Highway,99,10,"ACR 62, CH 115, 1994","Salida, northwest of Modesto",City of Manteca
5,Katcho Achadjian Memorial Highway,101,5,"SCR 31, CH 137, 2023","JCT RTE 227, N. SEP# 49-176 (PM 13.173)",JCT RTE 1 EB# 49-184 (PM 17.767)
6,CHP Officer Thomas R. Adams Memorial Highway,101,1,"ACR 76, CH 114, 2011",State Highway 271 - PM R101.895,S Fork Eel River #10-218 - PM R106.574
7,Aerospace Highway,14,"7, 6","ACR 119, CH 83, 2002",Pearblossom Highway,Route 395
8,"Ventura County Deputy Sheriff Peter Aguirre, Jr. Memorial Highway",33,7,"ACR 142, CH 83, 2016",East junction of Route 33/150 at (PM 11.210) ,La Luna Avenue / Fairview Road (PM 12.800)
9,All America City Highway,65,6,"ACR 47, CH 41, 1996",Route 99,Route 198
10,Alpine State Highway,"88, 89, 4",10,"CH 468, 1911",Jackson,"Calaveras Big Trees, via Markleeville"
11,America’s Heroes-Veterans Memorial Highway,49,10,"ACR 165, CH 125, 2016",Valley View Way (PM R7.298),Amador Creek BB #26-0043 (PM R10.576)
12,Glenn Anderson Freeway,105,7,"SCR 34, CH 83, 1987",Route 1,I-605
13,Antelope Valley Freeway ,14,7,"ACR 57, CH 196, 1957",I-5 south of Newhall,Avenue D north of Lancaster
14,Signal Hill Police Officer Anthony “Tony” Giniewicz Memorial Highway,405,7,"SCR 84, CH 89, 2014",Cherry Avenue South OC# 53-1200 - PM 4.879,Atlantic Avenue OC# 53-1204 - PM 6.076
15,Jimmy A. Arevalo Memorial Highway,8,11,"ACR 51, CH 65, 2013",11-SD-8 PM R27.30,11-SD-8 PM R28.46
16,"CHP Officer John ""Jack"" Armatoski Memorial Highway",40,8,"ACR 100, CH 109, 2012",West Park Road OC# 54-702 - PM R139.117,Needles Overhead OH# 54-813 R/L - PM R141.972
17,Armed Forces Freeway,215,8,"ACR 22, CH 106, 2007",Ramona Expressway,Route 60
18,Arroyo Seco Parkway,110,7,Streets & Highways Code Section 283,Post Mile 25.7,Post Mile 31.9
19,Artesia Freeway,91,"7, 12","ACR 80, CH 148, 1970",I-710,I-5 in Fullerton
20,Avenue of the Giants,254,1,"ACR 10, CH 36, 1960",Sylvandale,south of Jordan Creek
21,Avocado Highway,15,"11, 8","SCR 9, CH 62, 1997",Route 78 in Escondido,Temecula
22,Jeffrey Lynn Azuar Memorial Highway,80,4,"SCR 85, CH 155, 2000",The Carquinez Bridge,Columbus Parkway
23,William T. Bagley Freeway,101,4,"SCR 46, CH 111, 1987",Waldo Tunnel in Sausalito,I-580 in San Rafael
24,Esteban Bahena Memorial Highway,63,11,"SCR 122, CH 132, 2010",Washington Street,Route 8
25,CHP Officer John Bailey Memorial Freeway,15,8,"SCR 119, CH 113, 2008",I-10,I-210
26,California Corrections Youth Authority Counselor Ineasie M. Baker Memorial Freeway,60,8,"ACR 63, CH 115, 2005",South Milliken Avenue,South Euclid Avenue
27,Bakersfield All-America City Freeway,99,6,"SCR 55, CH 39, 1992",I-5,Southern point of McFarland Avenue
28,"Bakersfield, Maricopa and Ventura Highway","33, 119","5, 6, 7","CH 610, 1913",Ventura,Bakersfield
29,Deputy Sheriff Scott Ballantyne and Sheriff Pilot James Chavez Memorial Highway,190,6,"ACR 169, CH 146, 2018",Just South of HQ Drive (Postmile 22.530),Pleasant Oak Drive (Postmile 26.540)
30,United States Army Chief Warrant Officer 2 Edward Balli Memorial Highway,183,5,"SCR 57, CH 21 2018",Davis Road OC (PM R1.914),Espinosa Road (PM R7.651)
