source_url,name,bio,age,tour,badge,cause,end_of_watch,incident_details,matched_input_name,fuzzy_score
https://www.odmp.org/officer/10146-officer-hugo-olazar,Officer Hugo Olazar,"Officer Hugo Olazar was killed when his patrol car was rear-ended by a vehicle on I-280. He and his partner had just pulled to the shoulder of the road when a drunk driver traveling at a high rate of speed struck their patrol car. The impact caused both doors to be jammed shut and the patrol car to burst into flames. Officer Olazar's partner was able to free himself by shooting out his window and crawling out. After an unsuccessful attempt to free Officer Olazar, his partner was able to free the three occupants of the pickup truck. The driver was charged with DUI, vehicular manslaughter, and driving on a suspended license. Officer Olazar had served with the California Highway Patrol for seven years. He was survived by his wife, daughter, parents, and two brothers.",35,7 years,10371,Vehicular assault,"Saturday, September 2, 1989",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Charged with manslaughter,Hugo Olazar,100.0
https://www.odmp.org/officer/10319-police-officer-john-palacios,Police Officer John Palacios,"Officer John Palacios was struck and killed by a drunk driver while assisting at the scene of an accident on State Route 198, near State Route 269 in Fresno County. Officer Palacios was struck by the drunk driver while conducting traffic control at the accident scene. The suspect was taken into custody after being detained by three citizens. He was sentenced to one year in prison. Officer Palacios had been sworn in as a Huron Police officer only three weeks before the accident after serving as a reserve officer for one year.  He was survived by his expectant wife and daughter",21,1 year,8,Vehicular assault,"Sunday, June 13, 1976",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Sentenced to one year,John Palacios,100.0
https://www.odmp.org/officer/10674-corporal-john-lawrence-pierce,Corporal John Lawrence Pierce,"Corporal John Pierce died as a result of injuries sustained nine months earlier while conducting an undercover narcotics investigation at Whittier College. On September 21, 1976, Corporal Pierce was leaving a dormitory when two security guards, who had received a complaint about a man harassing students, accosted him in a case of mistaken identity. The security guards shoved him into a parked car, which resulted in Officer Pierce suffering a broken neck. Corporal Pierce was paralyzed from the neck down, needed a machine to breathe, and was in a coma until he passed away on May 18, 1977. Both security guards were charged with felony assault. One guard was acquitted, but the jurors could not agree on the verdict for the second guard. The second security guard was charged with manslaughter after Corporal Pierce's death but was also acquitted. Corporal Pierce had served with the Whittier Police Department for 10 years. He was survived by his wife, two daughters, and parents.",34,10 years,Not available,Assault,"Wednesday, May 18, 1977","Cause: Assault Incident Date: Tuesday, September 21, 1976 Weapon: Person Offender: Acquitted",John Pierce,100.0
https://www.odmp.org/officer/10839-deputy-sheriff-frank-marion-pribble,Deputy Sheriff Frank Marion Pribble,"Deputy Pribble was shot and killed while on patrol. Deputy Pribble approached a pick-up truck with a camper on the rear looking for a suspect in a shooting.  The suspect opened fire with a rifle hitting Deputy Pribble in the back, mortally wounding him.  His partner returned fire into the camper hitting the suspect.  Both Deputy Pribble and the suspect died at the hospital from their respective gunshot wounds. Deputy Pribble had served with the San Bernardino County Sheriff's Department for ten years.  He was survived by his wife and son.",36,10 years,Not available,Gunfire,"Sunday, July 6, 1975",Cause: Gunfire Weapon: Rifle Offender: Shot and killed by another officer,Frank M Pribble,92.85714285714286
https://www.odmp.org/officer/1153-officer-george-m-alleyn,Officer George M. Alleyn,"Officer George Alleyn was one of four California Highway Patrol officers who was slain in an incident that became to be known as the Newhall Incident. Officer Alleyn had served with the California Highway Patrol for two years. He is survived by his wife, daughter, and son.",24,2 years,6290,Gunfire,"Monday, April 6, 1970","Cause: Gunfire Incident Date: Sunday, April 5, 1970 Weapon: Handgun Offender: Committed suicide",George M Alleyn,93.33333333333333
https://www.odmp.org/officer/11721-police-officer-samuel-sanchez,Police Officer Samuel Sanchez,"Officer Sanchez was transporting three prisoners to the jail in Santa Maria when his vehicle was struck by a vehicle being operated by a drunk driver. Two of the prisoners, ages 16 and 25, were also killed. The 3rd 20-year-old prisoner and Officer Sanchez's 25-year-old partner who was driving were hospitalized. The 35-year-old driver of the other car, father of 8 children, was convicted of reckless driving and one count of manslaughter and sentenced to 18 months in jail. Officer Sanchez had served with the Guadalupe Police Department for 4 years. He had four brothers and a sister-in-law who served in law enforcement.",25,4 years,5,Vehicular assault,"Sunday, April 13, 1969",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Sentenced to 18 months,Samuel Sanchez,100.0
https://www.odmp.org/officer/11927-officer-james-j-schumacher-jr,"Officer James J. Schumacher, Jr.",Officer Schumacher was struck by a vehicle and killed while issuing a traffic citation to a vehicle on U.S. Highway 99. While obtaining the driver's signature the vehicle was sideswiped and Officer Schumacher was dragged more than 100 feet. The driver of the vehicle that struck him had fallen asleep. He was charged with manslaughter. Officer Schumacher had been with the agency for 12 years and was survived by his wife and two sons.,33,12 years,7164,Struck by vehicle,"Saturday, June 13, 1981",Cause: Struck by vehicle,James J Schumacher,94.44444444444444
https://www.odmp.org/officer/11976-officer-loren-d-scruggs,Officer Loren D. Scruggs,"Officer Loren Scruggs was shot and killed from ambush while conducting a traffic stop. He had stopped a vehicle for a traffic violation on Betteravia Road, one mile east of Highway 101, near Santa Maria. As he talked to the driver, another man parked across the street and approached him. The man asked Officer Scruggs for directions and then suddenly pulled out a .22 caliber handgun and shot him. The suspect fled the scene but was later found after committing suicide. Officer Scruggs was a U.S. Air Force veteran and had served with the California Highway Patrol for nine years. He was survived by his wife and four children.",35,9 years,3186,Gunfire,"Friday, April 23, 1971",Cause: Gunfire Weapon: Handgun; .22 caliber Offender: Committed suicide,Loren D Scruggs,93.33333333333333
https://www.odmp.org/officer/11978-state-park-ranger-i-patricia-m-scully,State Park Ranger I Patricia M. Scully,"Ranger Patricia Scully was killed when her patrol vehicle was struck head-on by a drunk driver on Cabrillo Highway, north of La Honda Road. She was patrolling the San Mateo Coast State Beaches at Half Moon Bay when the incident occurred. The driver of the vehicle was driving erratically and his car was in the process of flipping over when it went airborne and struck Ranger Scully's pickup truck. The suspect was found guilty of vehicular manslaughter and sentenced to one year in jail and had his driver's license suspended for three years. Ranger Scully had served with the California Department of Parks and Recreation for 18 month. She was survived by her parents.",25,"1 year, 6 months",Not available,Vehicular assault,"Thursday, May 6, 1976",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Sentenced to one year,Patricia M Scully,94.11764705882352
https://www.odmp.org/officer/12432-policeman-john-charles-smith,Policeman John Charles Smith,"Policeman John Smith was struck and killed by a drunk driver while watching traffic on a police motorcycle.. The 46-year-old driver was charged with felony drunk driving and manslaughter. The driver was convicted of misdemeanor manslaughter and sentenced to 3 years probation and fined $550.00. Policeman Smith served with the Los Angles Police Department for six and a half years. He is survived by his wife, and four children.",27,"6 years, 6 months",10395,Vehicular assault,"Wednesday, March 2, 1966",Cause: Vehicular assault Weapon: Automobile Offender: Convicted,Charles T Smith,92.85714285714286
