Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
100th Infantry Battalion Memorial Highway,,,,,,
10th Mountain Division Memorial Highway,,,,,,
442nd Regimental Combat Team Memorial Highway,,,,,,
Aerospace Highway,,,,,,
All America City Highway,,,,,,
Alpine State Highway,,,,,,
America’s Heroes-Veterans Memorial Highway,,,,,,
Antelope Valley Freeway,,,,,,
Arroyo Seco Parkway,,,,,,https://en.wikipedia.org/wiki/Arroyo_Seco_Parkway
Artesia Freeway,,,,,,
Avenue of the Giants,,,,,,https://en.wikipedia.org/wiki/Avenue_of_the_Giants
Avocado Highway,,,,,,
Bakersfield All-America City Freeway,,,,,,
Barstow Freeway,,,,,,https://en.wikipedia.org/wiki/Barstow_Freeway
Bayshore Freeway,,,,,,https://en.wikipedia.org/wiki/Bayshore_Freeway
Biggs-Willows Road,,,,,,
Border Friendship Route,,,,,,
Border Patrol Agent Jarod Charles Dittman Memorial Highway,,,,,,
Border Patrol Agent Robert W. Rosas Jr. Memorial Highway,,,,,,
Bracero Memorial Highway,,,,,,
Buffalo Soldiers Memorial Highway,,,,,,
"""CHP Officer Larry L. Wetterling and San Bernardino County Sheriff’s Lieutenant Alfred E.",,,,,,
"Stewart Memorial Highway""",,,,,,
"""CHP Officers Gayle W. Wood, Jr and James E. McCabe Memorial Highway""",,,,,,
CHP Officers Harold E. Horine and Bill Leiphardt Memorial Highway,,,,,,
Cabrillo Freeway,,,,,,
Cabrillo Highway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_1
California Corrections Youth Authority Counselor Ineasie M. Baker Memorial Freeway,,,,,,
California Delta Highway,,,,,,
California Highway Patrol Officer Brent William Clearman Memorial Freeway,,,,,,
California Highway Patrol Officer Charles D. Goss Memorial Highway,,,,,,
California Highway Patrol Officer David W. Copleman Memorial Highway,,,,,,
California Highway Patrol Officer Earl Scott Memorial Highway,,,,,,
California Highway Patrol Officer Franke A. Story Memorial Highway,,,,,,
California Highway Patrol Officer Justin W. McGrory Memorial Highway,,,,,,
California Highway Patrol Officer Phillip Dennis Ortiz Memorial Highway,,,,,,
"""California Highway Patrol Officers James E. Pence, Jr., Roger D. Gore, Walter C. Frago, and George M. Alleyn Memorial Highway""",,,,,,
California Small Business Owner's Highway,,,,,,
California Wildland Firefighters Memorial Highway,,,,,,
Caltrans Highway Maintenance Lead Worker Michael (Flea) Feliciano Memorial Highway,,,,,,
Caltrans Highway Maintenance Leadworker Jaime Obeso Memorial Highway,,,,,,
Caltrans Leadworker Gary Wayne Smith Memorial Highway,,,,,,
Capital City Freeway,,,,,,
Carneros Highway,,,,,,
Central Yosemite Highway,,,,,,
Century Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_105_(California)
Chino Valley Freeway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_71
Chumash Highway,,,,,,
Civilian Women Volunteers All Wars Memorial Freeway,,,,,,
Clarence Ward Memorial Boulevard,,,,,,
"""Colonel Young Oak Kim, United States Army, Memorial Highway""",,,,,,
