Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
A Donald Hoover,,,,,,
Abiel Barron,,,,,,
Adolfo Camarillo,businessperson,male,,1864-10-28,1958-12-10,https://en.wikipedia.org/wiki/Adolfo_Camarillo
Alan S Hart,,,,,,
Alex Madonna,,,,,,
Alfred R Turner,,,,,,
Alice Peña Bulos,,,,,,
Amber Dubois,,,,,,
Ambers O Sonny Shewmaker,,,,,,
Amelia Earhart,aircraft pilot,female,,1897-07-24,1939-01-05,https://en.wikipedia.org/wiki/Amelia_Earhart
Andre Maurice Moye,,,,,,
Andrew Andy Stevens,,,,,,
Andrew Maloney,rugby league player,male,,1977-11-15,,
Archie E Nichols,,,,,,
Archie Moore,boxer,male,,1913-12-13,1998-12-09,https://en.wikipedia.org/wiki/Archie_Moore
Arnold C Garcia,,,,,,
Arthur H Breed,,,,,,
Artie J Hubbard,,,,,,
Barack H Obama,politician,male,African Americans,1961-08-04,,https://en.wikipedia.org/wiki/Barack_Obama
Ben Hulse,politician,male,,1894-09-24,1961-03-02,https://en.wikipedia.org/wiki/Ben_Hulse
Bernie Richter,politician,male,,1931-09-07,1999-10-25,https://en.wikipedia.org/wiki/Bernie_Richter
Betty Meltzer,,,,,,
Bill C Bean,,,,,,
Bill Freeman,artificial intelligence researcher,male,,1957-00-00,,https://en.wikipedia.org/wiki/William_T._Freeman
Bill Leiphardt,,,,,,
Bill Whitehurst,,,,,,
Bob Zirbes,,,,,,
Braden Varney,,,,,,
Brian Ish Ishmael,,,,,,
Brian Law,choir director,male,,1943-01-01,,
Brian Walker,author,,,,,
Bruce Lee,film director,male,,1940-11-27,1973-07-20,https://en.wikipedia.org/wiki/Bruce_Lee
Burbank Matthew Pavelka Memoria,,,,,,
Carleton E Forbes,,,,,,
Cesar Chavez,trade unionist,male,,1927-03-31,1993-04-23,https://en.wikipedia.org/wiki/Cesar_Chavez
Charles Brown,actor,male,,1887-07-01,1948-11-25,https://en.wikipedia.org/wiki/Charles_D._Brown
Charles Chuck Sorenson,,,,,,
Charles I Walter,,,,,,
Charles Lilly,illustrator,male,,1949-01-01,,
Charles T Smith,,,,,,
Charles Young,astronomer,male,,1834-12-15,1908-01-03,https://en.wikipedia.org/wiki/Charles_Augustus_Young
Chris Kanton,,,,,,
Christopher D Leon,,,,,,
Christopher D Lydon,,,,,,
Christopher Lee Douglas,,male,,,,
Christopher Meadows,painter,male,,1863-01-01,1947-01-01,
Chuck Poochigian,lawyer,male,,1949-05-31,,https://en.wikipedia.org/wiki/Chuck_Poochigian
Cory Iverson,,,,,,
Dale E Newby,,,,,,
Dan N Benavides,,,,,,
Dana Cowell,,,,,,
Daniel Broeske,,,,,,
Daniel E Boatwright,,,,,,
Daniel J Muehlhausen,,,,,,
Daniel Jess Lobo,,,,,,
Daniel Sakai,researcher,male,,,,
Daniel T Fraembs,,,,,,
Danny P Oliver,,,,,,
Darnell Andrew Calhoun,,,,,,
Darrell Keith Lee,,,,,,
Dave Chetcuti,,,,,,
Dave Ghilarducci,,,,,,
David E Cogdill,,,,,,
David E Pierson,,,,,,
David F Mobilio,,,,,,
David G Graves,,,,,,
David G Kelley,,,,,,
David Lamoree,,,,,,
David M Romero,,,,,,
David P Grant,,,,,,
David W Manning,,,,,,
Dean E Beattie,,,,,,
Dennis E Phelps,,,,,,
Dennis Wallace,researcher,,,,,
