State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Indiana,Abraham Lincoln,politician,male,English Americans,1809-02-12,1865-04-15,https://en.wikipedia.org/wiki/Abraham_Lincoln
Indiana,Adam Benjamin,jazz musician,male,,1950-00-00,,https://en.wikipedia.org/wiki/Adam_Benjamin_(musician)
Indiana,Anthony Burton,solicitor,male,,1947-07-12,,
Indiana,Anthony Wayne,politician,male,,1745-01-01,1796-12-15,https://en.wikipedia.org/wiki/Anthony_Wayne
Indiana,Anton Tony Hulman Jr,,,,,,
Indiana,Berley Goodin,,,,,,
Indiana,Bill Monroe,singer,male,,1911-09-13,1996-09-09,https://en.wikipedia.org/wiki/Bill_Monroe
Indiana,Bing Welch,,,,,,
Indiana,Blue Star,,,,,,
Indiana,Carolyn Brown Mosby,politician,female,,1932-05-10,1990-01-19,https://en.wikipedia.org/wiki/Carolyn_Brown_Mosby
Indiana,Casimir Pulaski,military officer,intersex man,,1745-03-00,1779-10-11,https://en.wikipedia.org/wiki/Casimir_Pulaski
Indiana,Cesar Chavez,trade unionist,male,,1927-03-31,1993-04-23,https://en.wikipedia.org/wiki/Cesar_Chavez
Indiana,Chris Schenkel,sports commentator,male,,1923-08-21,2005-09-11,https://en.wikipedia.org/wiki/Chris_Schenkel
Indiana,David C Ford,,,,,,
Indiana,Dean Brenneman,,,,,,
Indiana,Dean Mock,,,,,,
Indiana,Dennis Heeke,,,,,,
Indiana,Donald W Dean,,,,,,
Indiana,Dr Martin Luther King,,,,,,
Indiana,Dwight D Eisenhower,,,,,,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower_National_Fish_Hatchery
Indiana,Edgar D Whitcomb,,,,,,
Indiana,Edwin J Simcox,,,,,,
Indiana,Ernest P Bicknell,writer,male,,1862-02-23,1935-09-29,https://en.wikipedia.org/wiki/Ernest_Bicknell
Indiana,Ernie Pyle,journalist,male,,1900-08-03,1945-04-18,https://en.wikipedia.org/wiki/Ernie_Pyle
Indiana,Eryk T Heck,,,,,,
Indiana,Eugene Linn,,,,,,
Indiana,Frank Borman,test pilot,male,,1928-03-14,2023-11-07,https://en.wikipedia.org/wiki/Frank_Borman
Indiana,Frank Mccloskey,politician,male,,1939-06-12,2003-11-02,https://en.wikipedia.org/wiki/Frank_McCloskey
Indiana,Frank Obannon,,,,,,
Indiana,Fred M Fehsenfeld,,,,,,
Indiana,Gary Dudley Gary Martin,,,,,,
Indiana,Gene Stratton,novelist,female,,1863-08-17,1924-12-06,https://en.wikipedia.org/wiki/Gene_Stratton-Porter
Indiana,George Rogers Clark,army officer,male,,1752-11-19,1818-02-13,https://en.wikipedia.org/wiki/George_Rogers_Clark
Indiana,Harold H Potch,,,,,,
Indiana,Harold W Handley,,,,,,
Indiana,James C Cummings,,,,,,
Indiana,James Pendleton,,male,,1702-00-00,1761-01-01,
Indiana,Jason E Beal,,,,,,
Indiana,Jeffery A Stout,,,,,,
Indiana,Jerrold J Wyss,,,,,,
Indiana,Jerry Ross,basketball player,male,,,,
Indiana,John H Peper,,,,,,
Indiana,John Martin Smith,writer,,,1939-00-00,,
Indiana,John Mellencamp,singer,male,,1951-10-07,,https://en.wikipedia.org/wiki/John_Mellencamp
Indiana,John R Wooden,,,,,,https://en.wikipedia.org/wiki/John_R._Wooden_Award
Indiana,Jonathan Maxwell,,male,,,,
Indiana,Joseph F Oday,,,,,,
Indiana,Kenny Babyface Edmonds,,,,,,
Indiana,Kevin A Ford,,,,,,
Indiana,Lee Hamilton,,,,,,
Indiana,Lincoln Heritage,,,,,,https://en.wikipedia.org/wiki/Lincoln_Heritage_Trail
Indiana,Lonnie Howard,,,,,,
Indiana,Marion T Anderson,,,,,,
Indiana,Mary Anderson,actor,female,,1918-04-03,2014-04-06,"https://en.wikipedia.org/wiki/Mary_Anderson_(actress,_born_1918)"
Indiana,Mayor Rudolph Rudy Clay,,,,,,
Indiana,Murrell Belanger,,,,,,
Indiana,National Historical Road,,,,,,
Indiana,Neil Thompson,association football player,male,,1963-10-02,,https://en.wikipedia.org/wiki/Neil_Thompson
Indiana,Old Lincoln,,,,,,
Indiana,Pearl Harbor,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor
Indiana,Peter Bo Stephan,,,,,,
Indiana,Phil Sharp,skipper,male,,1981-05-11,,https://en.wikipedia.org/wiki/Phil_Sharp_(sailor)
Indiana,Philip T Warner,,,,,,
Indiana,Phyllis J Pond,,,,,,
Indiana,Ralph F Gates,,,,,,
Indiana,Ray Ewry,athletics competitor,male,,1873-10-14,1937-09-29,https://en.wikipedia.org/wiki/Ray_Ewry
Indiana,Richard A Maughmer,,,,,,
Indiana,Richard Regnier,,,,,,
Indiana,Richard W Mangus,,,,,,
Indiana,Rick Mount,basketball player,male,,1947-01-05,,https://en.wikipedia.org/wiki/Rick_Mount
Indiana,Robert D Orr,,,,,,
Indiana,Robert R Brown,,,,,,
Indiana,Roland Stine,,,,,,
Indiana,Ronald Reagan,television actor,male,white people,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan
Indiana,Ruel W Steele,,,,,,
Indiana,Russell Bob Harrell,,,,,,
Indiana,Samuel Woodfill,military personnel,male,,1883-01-06,1951-08-10,https://en.wikipedia.org/wiki/Samuel_Woodfill
Indiana,Scott A Patrick,,,,,,
Indiana,Second Harry J Michael,,,,,,
Indiana,Van Ness,,,,,,
Indiana,White Eye,,,,,,https://en.wikipedia.org/wiki/White-eye
Indiana,William A Koch,,,,,,
Indiana,William Henry Harrison,politician,male,,1773-02-09,1841-04-04,https://en.wikipedia.org/wiki/William_Henry_Harrison
