Number,Name,Legal Reference,Category,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
1.0,Lewis And Clark,60-1-202,State Legislative Road and Bridge Designations,,,,,,,
2.0,Lewis And Clark National Historic Trail Auto Route,,Federal Road Designations,,,,,,
3.0,Nez Perce National Historic Trail Auto Route,,Federal Road Designations,,,,,,
4.0,State Vietnam Veterans Memorial,1-1-512,Other Legislative Designations,,,,,,
5.0,Veterans,60-1-203,State Legislative Road and Bridge Designations,,,,,,https://en.wikipedia.org/wiki/Veteran
6.0,Beartooth,,Federal Road Designations,,,,,,,
7.0,Maureen And Mike Mansfield Heritage Route,60-1-204,State Legislative Road and Bridge Designations,,,,,,
8.0,Missouri Breaks Back Country Byway,,Federal Road Designations,,,,,,
9.0,Garnet Back Country Byway,,Federal Road Designations,,,,,,
10.0,Pioneer Mountains Scenic Byway,,Federal Road Designations,,,,,,
11.0,Big Sheep Creek Back Country Byway,,Federal Road Designations,,,,,,
12.0,Kings Hill Scenic Byway,,Federal Road Designations,,,,,,
13.0,Lake Koocanusa Scenic Byway,,Federal Road Designations,,,,,,https://en.wikipedia.org/wiki/Lake_Koocanusa_Scenic_Byway
14.0,St RegisParadise Scenic Byway,,Federal Road Designations,,,,,,
15.0,Charles M Russell,60-1-205,State Legislative Road and Bridge Designations,,,,,,
16.0,Camino Real,,Federal Road Designations,,,,,,,
17.0,Donald J Ruhl Medal Of Honor,60-1-206,State Legislative Road and Bridge Designations,,,,,,
18.0,Canamex,,Federal Road Designations,,,,,,,
19.0,First Special Services Force,,State Road and Bridge Designations,,,,,,
20.0,Old Forts,60-1-207,State Legislative Road and Bridge Designations,,,,,,
21.0,Montana Highway 3,60-1-208,State Legislative Road and Bridge Designations,,,,,,https://en.wikipedia.org/wiki/Montana_Highway_3
23.0,Big Sky Back Country Byway,,Federal Road Designations,,,,,,
25.0,Tom Matsko Bluebird Trail,,State Road and Bridge Designations,,,,,,
26.0,163rd Infantry Regiment Sunset Division Heritage,60-1-209,State Legislative Road and Bridge Designations,,,,,,
27.0,Purple Heart,60-1-210,State Legislative Road and Bridge Designations,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
28.0,Montana State Firefighters Memorial,1-1-519,Other Legislative Designations,,,,,,
29.0,Theodore Roosevelt,,Federal Road Designations,explorer,,male,1858-10-27,1919-01-06,https://en.wikipedia.org/wiki/Theodore_Roosevelt
30.0,Rawhide Stampede Rustlers And Rendezvous Trade,60-2-140,State Legislative Road and Bridge Designations,,,,,,
31.0,Patrick G Galvin,60-1-211,State Legislative Road and Bridge Designations,,,,,,
32.0,Richard Dean Roebling,60-1-212,State Legislative Road and Bridge Designations,,,,,,
33.0,State Korean War Veterans Memorial  Butte,1-1-516,Other Legislative Designations,,,,,,
34.0,Official Home Of The Evelyn Cameron Gallery  Terry,1-1-526,Other Legislative Designations,,,,,,
35.0,James E McKenna Memorial Rest Area,,Other Legislative Designations,,,,,,
36.0,Warrior Trail,60-1-214,State Legislative Road and Bridge Designations,,,,,,,
37.0,Paul J Erickson,,State Road and Bridge Designations,,,,,,
38.0,Robert E Ewing Jr,60-1-213,State Legislative Road and Bridge Designations,,,,,,
39.0,Highway Patrol Officer Evan F Schneider,60-1-216,State Legislative Road and Bridge Designations,,,,,,
40.0,Highway Patrol Officer David Graham,60-1-215,State Legislative Road and Bridge Designations,,,,,,
41.0,Kyle G Bohrnsen PFC US Army,,State Road and Bridge Designations,,,,,,
42.0,Highway Patrol Officer Christopher L Hoyt,,State Road and Bridge Designations,,,,,,
43.0,Highway Patrol Officer David DeLaittre,60-1-218,State Legislative Road and Bridge Designations,,,,,,
44.0,Highway Patrol Officer Michael W Haynes,60-1-217,State Legislative Road and Bridge Designations,,,,,,
45.0,Pintler Veterans Memorial Scenic,60-1-219,State Legislative Road and Bridge Designations,,,,,,
46.0,Deborah Hobbs, LCSO 15-47 Memorial Highway,State Road and Bridge Designations,teacher,,female,,,
47.0,Patrick A Pyette,60-1-220,State Legislative Road and Bridge Designations,,,,,,
48.0,Veterans,,State Road and Bridge Designations,,,,,,https://en.wikipedia.org/wiki/Veteran
49.0,Prisoner Of War  Missing In Action,,State Road and Bridge Designations,,,,,,
50.0,Joshua Thomas Josh Rutherford,60-1-221,State Legislative Road and Bridge Designations,,,,,,
52.0,Fort Shaw Fire Chief David Anderson,,Other MDT Designations,,,,,,
53.0,Highway Patrol Officer Michael M Ren,,Other MDT Designations,,,,,,
54.0,Highway Patrol Officer Richard E Hedstrom,,Other MDT Designations,,,,,,
55.0,Highway Patrol Officer James H Anderson,,Other MDT Designations,,,,,,
56.0,Highway Patrol Officer Robert G Steele,,Other MDT Designations,,,,,,
57.0,Patricia Abelin,,Other MDT Designations,,,,,,
58.0,Pikuni Veterans,,Other MDT Designations,,,,,,
59.0,Joseph J Dunn,60-1-222,State Legislative Road and Bridge Designations,,,,,,
60.0,Montana Veterans Memorial,1-1-523,Other Legislative Designations,,,,,,
61.0,Northeast Montana Veterans Memorial Park,1-1-524,Other Legislative Designations,,,,,,
62.0,Ivan Doig,,Other MDT Designations,novelist,,male,1939-06-27,2015-04-09,https://en.wikipedia.org/wiki/Ivan_Doig
63.0,David L Briese Jr,60-1-223,State Legislative Road and Bridge Designations,,,,,,
64.0,Shelby Veterans Memorial Flag Monument,1-1-527,Other Legislative Designations,,,,,,
65.0,Senator Conrad Burns,60-1-224,State Legislative Road and Bridge Designations,,,,,,
66.0,Michael John MacKinnon,,Other MDT Designations,,,,,,
67.0,Dolly Smith Akers,60-1-229,State Legislative Road and Bridge Designations,,,,,,
68.0,Flathead County Veterans Memorial,,Other MDT Designations,,,,,,
69.0,Mason Moore,60-1-230,State Legislative Road and Bridge Designations,,,,,,
70.0,Montana Medal Of Honor,60-1-228,State Road and Bridge Designations,,,,,,
71.0,Minnie SpottedWolf,60-1-234,State Road and Bridge Designations,,,,,,
72.0,Louis Charles Charlo,60-1-235,State Road and Bridge Designations,,,,,,
73.0,Trenton Johnson,60-1-226,State Road and Bridge Designations,basketball player,,male,,,
74.0,Jeannette Rankin,60-1-233,State Road and Bridge Designations,politician,,female,1880-06-11,1973-05-18,https://en.wikipedia.org/wiki/Jeannette_Rankin
75.0,Brent Witham,60-1-231,State Road and Bridge Designations,,,,,,
76.0,David Thatcher,60-1-225,State Road and Bridge Designations,writer,,male,1945-00-00,,,
77.0,Pearl Harbor Veterans,60-1-227,State Road and Bridge Designations,,,,,,
78.0,Tim W Reardon,,Other MDT Designations,,,,,,
79.0,Jim Posewitz,,Other MDT Designations,,,,,,
80.0,Helen Clarke,60-1-237,State Road and Bridge Designations,archaeologist,,female,,,
81.0,Beartracks,,Other MDT Designations,,,,,,,
82.0,Otto Fossen,60-1-236,State Road and Bridge Designations,,,,,,
83.0,Terry Spotted Wolf, Sr. Memorial Highway,State Road and Bridge Designations,,,,,,
84.0,Harry A Paulson,,Other MDT Designations,,,,,,
85.0,Chief Earl Old Person,60-1-239,State Road and Bridge Designations,,,,,,
86.0,Jacob Allmendinger,60-1-240,State Road and Bridge Designations,,,,,,
87.0,Ensign James A Shelton,60-1-241,State Road and Bridge Designations,,,,,,
88.0,Carbon County Veterans Memorial Loop,,Other MDT Designations,,,,,,
89.0,Arthur J Rambo,,State Road and Bridge Designations,,,,,,
90.0,Jim Loud Thunder Gopher,,State Road and Bridge Designations,,,,,,
91.0,Laverne Parrish,,State Road and Bridge Designations,combat medic,,male,1918-07-16,1945-01-24,https://en.wikipedia.org/wiki/Laverne_Parrish
92.0,Danny L Radish,,State Road and Bridge Designations,,,,,,
,State Korean War Veterans Memorial  Missoula,1-1-517,Other Legislative Designations,,,,,,
,State Veterans Memorial Rose Garden,1-1-518,Other Legislative Designations,,,,,,
,State Iraq And Afghanistan Veterans Memorial Grateful Nation Montana,1-1-521,Other Legislative Designations,,,,,,
