Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
Lewis And Clark,,,,,,https://ceb.wikipedia.org/wiki/Lewis_and_Clark_Lake_(lanaw)
Lewis And Clark National Historic Trail Auto Route,,,,,,
Nez Perce National Historic Trail Auto Route,,,,,,
State Vietnam Veterans Memorial,,,,,,
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran
Beartooth,,,,,,https://en.wikipedia.org/wiki/Beartooth_(band)
Maureen And Mike Mansfield Heritage Route,,,,,,
Missouri Breaks Back Country Byway,,,,,,
Garnet Back Country Byway,,,,,,
Pioneer Mountains Scenic Byway,,,,,,
Big Sheep Creek Back Country Byway,,,,,,
Kings Hill Scenic Byway,,,,,,
Lake Koocanusa Scenic Byway,,,,,,https://en.wikipedia.org/wiki/Lake_Koocanusa_Scenic_Byway
St RegisParadise Scenic Byway,,,,,,
Charles M Russell,,,,,,
Camino Real,,,,,,https://en.wikipedia.org/wiki/Camino_Real_(play)
Donald J Ruhl Medal Of Honor,,,,,,
Canamex,,,,,,https://en.wikipedia.org/wiki/CANAMEX_Corridor
First Special Services Force,,,,,,
Old Forts,,,,,,
Montana Highway 3,,,,,,https://en.wikipedia.org/wiki/Montana_Highway_3
Big Sky Back Country Byway,,,,,,
Tom Matsko Bluebird Trail,,,,,,
163rd Infantry Regiment Sunset Division Heritage,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Montana State Firefighters Memorial,,,,,,
Theodore Roosevelt,explorer,,male,1858-10-27,1919-01-06,https://en.wikipedia.org/wiki/Theodore_Roosevelt
Rawhide Stampede Rustlers And Rendezvous Trade,,,,,,
Patrick G Galvin,,,,,,
Richard Dean Roebling,,,,,,
State Korean War Veterans Memorial  Butte,,,,,,
Official Home Of The Evelyn Cameron Gallery  Terry,,,,,,
James E McKenna Memorial Rest Area,,,,,,
Warrior Trail,,,,,,https://en.wikipedia.org/wiki/Warrior_Trail
Paul J Erickson,,,,,,
Robert E Ewing Jr,,,,,,
Highway Patrol Officer Evan F Schneider,,,,,,
Highway Patrol Officer David Graham,,,,,,
Kyle G Bohrnsen PFC US Army,,,,,,
Highway Patrol Officer Christopher L Hoyt,,,,,,
Highway Patrol Officer David DeLaittre,,,,,,
Highway Patrol Officer Michael W Haynes,,,,,,
Pintler Veterans Memorial Scenic,,,,,,
Deborah Hobbs,teacher,,female,,,
Patrick A Pyette,,,,,,
Prisoner Of War  Missing In Action,,,,,,
Joshua Thomas Josh Rutherford,,,,,,
Fort Shaw Fire Chief David Anderson,,,,,,
Highway Patrol Officer Michael M Ren,,,,,,
Highway Patrol Officer Richard E Hedstrom,,,,,,
Highway Patrol Officer James H Anderson,,,,,,
Highway Patrol Officer Robert G Steele,,,,,,
Patricia Abelin,,,,,,
Pikuni Veterans,,,,,,
Joseph J Dunn,,,,,,
Montana Veterans Memorial,,,,,,
Northeast Montana Veterans Memorial Park,,,,,,
Ivan Doig,novelist,,male,1939-06-27,2015-04-09,https://en.wikipedia.org/wiki/Ivan_Doig
David L Briese Jr,,,,,,
Shelby Veterans Memorial Flag Monument,,,,,,
Senator Conrad Burns,,,,,,
Michael John MacKinnon,,,,,,
Dolly Smith Akers,,,,,,
Flathead County Veterans Memorial,,,,,,
Mason Moore,pornographic actor,,female,1985-02-01,,https://arz.wikipedia.org/wiki/%D9%85%D9%8A%D8%B3%D9%88%D9%86_%D9%85%D9%88%D8%B1
Montana Medal Of Honor,,,,,,
Minnie SpottedWolf,,,,,,
Louis Charles Charlo,,,,,,
Trenton Johnson,basketball player,,male,,,
Jeannette Rankin,politician,,female,1880-06-11,1973-05-18,https://en.wikipedia.org/wiki/Jeannette_Rankin
Brent Witham,,,,,,
David Thatcher,writer,,male,1945-00-00,,https://es.wikipedia.org/wiki/David_T._Gies
Pearl Harbor Veterans,,,,,,
Tim W Reardon,,,,,,
Jim Posewitz,,,,,,
Helen Clarke,archaeologist,,female,,,
Beartracks,,,,,,https://en.wikipedia.org/wiki/BearTracks_Studios
Otto Fossen,,,,,,
Terry Spotted Wolf,,,,,,
Harry A Paulson,,,,,,
Chief Earl Old Person,,,,,,
Jacob Allmendinger,,,,,,
Ensign James A Shelton,,,,,,
Carbon County Veterans Memorial Loop,,,,,,
Arthur J Rambo,,,,,,
Jim Loud Thunder Gopher,,,,,,
Laverne Parrish,combat medic,,male,1918-07-16,1945-01-24,https://en.wikipedia.org/wiki/Laverne_Parrish
Danny L Radish,,,,,,
State Korean War Veterans Memorial  Missoula,,,,,,
State Veterans Memorial Rose Garden,,,,,,
State Iraq And Afghanistan Veterans Memorial Grateful Nation Montana,,,,,,
