Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
American Legion,,,,,,https://en.wikipedia.org/wiki/American_Legion
Andrew Jackson Higgins,engineer,,male,1886-08-28,1952-08-01,https://en.wikipedia.org/wiki/Andrew_Higgins
Bess Streeter Aldrich,novelist,,female,1881-02-17,1954-08-03,https://en.wikipedia.org/wiki/Bess_Streeter_Aldrich
Blue Star,,,,,,https://pl.wikipedia.org/wiki/Blue_Star
Senator Carl T Curtis,,,,,,
Clayton Yeutter,,,,,,
Colonel Barney Oldfield,,,,,,
Cornhusker,,,,,,https://en.wikipedia.org/wiki/Nebraska
Crazy Horse,,,,,,https://en.wikipedia.org/wiki/Crazy_Horse_(band)
Eisenhower Interstate System,,,,,,https://en.wikipedia.org/wiki/Interstate_Highway_System
General Gruenther,,,,,,
Gerald Ford Freeway,,,,,,
Glenn Miller,jazz musician,,male,1904-03-01,1944-12-15,https://en.wikipedia.org/wiki/Glenn_Miller
Grand Army of the Republic,,,,,,https://en.wikipedia.org/wiki/Grand_Army_of_the_Republic
Great Plains Indian,,,,,,https://en.wikipedia.org/wiki/Great_Plains_First_Nations_trading_networks
Harold Warp,inventor,,male,1903-12-21,1994-04-09,https://en.wikipedia.org/wiki/Harold_Warp
Henry Fonda,television actor,,male,1905-05-16,1982-08-12,https://en.wikipedia.org/wiki/Henry_Fonda
Homestead,,,,,,https://en.wikipedia.org/wiki/Homestead_(building)
J Sterling Morton,,,,,,
Jerome and Betty Warner,,,,,,
John McLellan Jr,,,,,,
Johnny Carson Blvd,,,,,,
Karl Timmermann,,,male,,1918-12-09,
Kennedy Freeway,,,,,,https://en.wikipedia.org/wiki/U.S._Route_75_in_Nebraska
Mari Sandoz Sandhills,,,,,,
Merle Kingsbury,,,,,,
Nebraska Medal of Honor,,,,,,
Pawnee Scouts,,,,,,https://en.wikipedia.org/wiki/Pawnee_Scouts
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Robert Taylor,actor,,male,1911-08-05,1969-06-08,https://en.wikipedia.org/wiki/Robert_Taylor_(American_actor)
Roger Welsch,correspondent,,male,1936-11-06,2022-09-30,https://en.wikipedia.org/wiki/Roger_Welsch
Standing Bear,,,male,1859-00-00,1933-00-00,https://de.wikipedia.org/wiki/Standing_Bear_(Minneconjou)
Sam Foltz,,,,,,
Strategic Air Command,,,,,,https://en.wikipedia.org/wiki/Strategic_Air_Command
Tom Osborne,politician,,male,1937-02-23,,https://en.wikipedia.org/wiki/Tom_Osborne
Twist Newberry Access,,,,,,
Veterans of Foreign Wars,,,,,,https://en.wikipedia.org/wiki/Veterans_of_Foreign_Wars
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran
War Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran
Willa Cather,writer,,female,1873-12-07,1947-04-24,https://en.wikipedia.org/wiki/Willa_Cather
