OBJECTID,RTE_NM,RTE_PRFX,RTE_NBR,RDBD_TYPE,BEGIN_DFO,END_DFO,MEMORIAL_H,ASSET_CMNT,ASSET_NM,DES_TYPE,SYSTEM,Shape__Length,county
1,FM2526-KG,FM,2526,K,13.883,21.679,Sergeant Barbara Fenley Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,14863.2768446317,Eastland
2,US0290-KG,US,290,K,239.845,250.631,Trooper Russell Lynn Boyd Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,20057.3962280594,Gillespie
3,US0087-KG,US,87,K,465.405,484.337,Deputy Samuel Leonard Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,35670.0928849738,Tom Green
4,SH0019-KG,SH,19,K,53.967,54.415,Mildred McMillan Garrett Memorial Bridge,STATE 226.216,Memorial Highway,STATE,ON,863.729207408364,Trinity
5,IH0010-KG,IH,10,K,720.658,727.914,Trooper Mark Frederick Memorial Highway,STATE 225.223,Memorial Highway,STATE,ON,13446.4525039726,Hudspeth
6,FM0040-KG,FM,40,K,6.988,11.842,The Maines Brothers Band Highway,STATE 225.217,Memorial Highway,STATE,ON,9381.19830253059,Lubbock
7,US0377-KG,US,377,K,47.577,53.994,Trooper Hollis S. Lacy Memorial Highway,STATE 225.221,Memorial Highway,STATE,ON,12336.3519680908,Denton
8,SH0049-KG,SH,49,K,3.31,4.868,Titus County WWI Veterans Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,2997.42075365088,Titus
9,SH0144-KG,SH,144,K,8.161,14.075,Ed Shipman Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,11318.6142445064,Somervell
10,US0087-KG,US,87,K,515.96,520.114,Ranger Stanley K. Guffey Memorial Highway,STATE 225.218,Memorial Highway,STATE,ON,7834.05023179112,Tom Green
11,US0067-KG,US,67,K,0.0,4.477,Trooper Howard Jordan Memorial Highway,STATE 225.222,Memorial Highway,STATE,ON,8638.76253098697,Presidio
12,FM0517-KG,FM,517,K,0.0,9.38,Ken Clark Memorial Highway,STATE 225.217,Memorial Highway,STATE,ON,17354.1224810171,Galveston
13,IH0035-KG,IH,35,K,363.093,369.644,Trooper Milton Alexander Memorial Highway,STATE 225.219,Memorial Highway,STATE,ON,12471.4472739102,Bexar
14,BI0020E-KG,BI,20,K,1.544,9.87,Mac Wilson and Rex Young Medal of Honor Highway,STATE 225.217,Memorial Highway,STATE,ON,15781.9338298891,Ector
15,IH0010-KG,IH,10,K,720.653,727.914,Trooper William Kohlleppel III Memorial Highway,STATE 225.224,Memorial Highway,STATE,ON,16401.2337661101,Hudspeth
