Highway,Commemorative Name,Highway Location,Commemorating,State Statute,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
WIS 23,Blue Star Memorial Highway,Sheboygan County,To honor the armed forces of the United States and all individuals who have served or will serve,1993 Act 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 59,Cinco de Mayo Memorial Highway,City of Milwaukee,In recognition of the day of celebration that commemorates Mexico's victory over a French army and contributions of Hispanics,1991 Act 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 27,Citizen Soldier Highway,Between Brule and Prairie du Chien,"Tribute to Wisconsin veterans, National Guard, law enforcement, and firefighters",2003 Act 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 27,Donald K. 'Deke' Slayton Memorial Highway,Between Sparta and Cashton,In honor of astronaut Deke Slayton,2001 Act 16,Donald K Deke Slayton,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
WIS 33,84th Division 'Railsplitters' Memorial Highway,La Crosse to Port Washington,To honor the 84th Division members of WWI & WWII,1995 Act 297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 57,57th Field Artillery Brigade Memorial Highway,From Milwaukee to Sister Bay,To honor the Iron Brigade of the Wisconsin National Guard,2007 Act 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 14,Frank Lloyd Wright Memorial Highway,From Richland Center to Madison,In recognition of Frank Lloyd Wright’s architectural accomplishments,1991 Act 27,Frank Lloyd Wright,highway,,,,,,,,,,,architect,,male,1867-06-08,1959-04-09,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,"Frank Lloyd Wright was an American architect born on June 8, 1867, and died on April 9, 1959. He is widely regarded as one of the greatest architects of the 20th century, pioneering the concept of 'organic architecture' and designing over 1,000 structures, including iconic works like Fallingwater and the Guggenheim Museum. Wright played a key role in the Prairie School movement and influenced modern architectural design globally. His innovative approach to integrating buildings with their natural surroundings left a lasting legacy in the field of architecture.","University of Wisconsin–Madison (1885–1887), no degree",1867-06-08,1959-04-09,"Richland Center, Wisconsin, United States","Phoenix, Arizona, United States",male,no,no,no,no
US 63,Gaylord Nelson Highway,Between Pierce and Bayfield counties,In recognition of Senator Gaylord Nelson,2009 Act 116,Gaylord Nelson,highway,,,,,,,,,,,politician,,male,1916-06-04,2005-07-03,https://en.wikipedia.org/wiki/Gaylord_Nelson,"Gaylord Nelson was an American politician and environmentalist born on June 4, 1916, in Clear Lake, Wisconsin. He served as a U.S. Senator from Wisconsin (1963–1981) and was the founder of Earth Day, first celebrated in 1970, which became a pivotal event in the modern environmental movement. Prior to his Senate career, he was the 35th Governor of Wisconsin (1959–1963) and a state legislator, advocating for progressive policies like conservation and civil rights. Nelson passed away on July 3, 2005, leaving a legacy as one of the most influential environmental leaders in U.S. history.","San Jose State University, Bachelor of Arts (1939), University of Wisconsin–Madison, Law Degree (1942)",1916-06-04,2005-07-03,"Clear Lake, Wisconsin, United States","Kensington, Maryland, United States",male,no,yes,yes,no
WIS 19,Georgia O’Keeffe Memorial Highway,From Sun Prairie to Marshall,In recognition of artist Georgia O’Keeffe,2005 Act 137,Georgia OKeeffe,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
WIS 81,Governor Nelson Dewey Memorial Highway,From Cassville to Beetown,To commemorate the first governor of Wisconsin,1989 Act 76,Governor Nelson Dewey,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
WIS 54,Green Bay Ethnic Trail,Illinois state line to Green Bay,To commemorate historical ethnic settlements,1993 Act 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 12,Iron Brigade Memorial Highway,From Illinois state line to Minnesota state line,To honor Iron Brigade Union Army regiments,1993 Act 442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-43,Jeannetta Simpson-Robinson Memorial Highway,Between North Ave and Atkinson Ave interchanges in Milwaukee,In appreciation of Jeannetta Simpson‑Robinson’s community work,2009 Act 151,Jeannetta SimpsonRobinson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
WIS/I-794,John R. Plewa Memorial Lake Parkway,From Hoan Bridge to Layton Ave in Milwaukee County,In recognition of John R. Plewa’s public service,1999 Act 9,John R Plewa Memorial Lake,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
US 51,Korean War Veterans Memorial Highway,From Illinois to Michigan state line,To honor all Wisconsin Korean War veterans,1987 Act 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
