input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
Blue Star Memorial Highway,Blue Star,highway,,,,,,,,,,,,,,,,https://pl.wikipedia.org/wiki/Blue_Star,"Blue Star was a Polish independent record label founded in the 1980s, specializing in underground and alternative music during a politically turbulent era. It became a key platform for Polish punk, new wave, and experimental artists, releasing works that often defied state censorship. The label operated primarily through cassette tapes and later expanded to compact discs, documenting the vibrant underground scene. Though its exact founding and dissolution dates are unclear, Blue Star remains historically significant for preserving Poland’s nonconformist music culture.",[],,,not found,not found,not found,no,no,no,yes
Cinco de Mayo Memorial Highway,Cinco de Mayo,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cinco_de_Mayo,"Cinco de Mayo is a yearly celebration held on May 5 to commemorate the Mexican Army's victory over the French Empire at the Battle of Puebla on May 5, 1862. Led by General Ignacio Zaragoza, the outnumbered Mexican forces defeated a larger, well-equipped French army, marking a symbolic triumph against foreign intervention. Though not a federal holiday in Mexico, it is widely observed in the state of Puebla and has grown into a broader celebration of Mexican culture, particularly in the United States. The event holds historical significance as a moment of national pride and resistance during the Second French intervention in Mexico.",[],,,not found,not found,not found,no,no,no,no
Citizen Soldier Highway,Citizen Soldier,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Citizen_Soldier_(band),"Citizen Soldier is an American rock band formed in 2015, known for blending hard rock and post-grunge influences with themes of patriotism and military service. The band features members who are also active-duty or veteran U.S. Army soldiers, including lead vocalist Jay Brunelle, a staff sergeant in the New York Army National Guard. They gained recognition for their debut album Citizen Soldier (2016) and singles like 'Battle Born,' which resonate with military and civilian audiences alike. The group continues to tour and release music while balancing their military commitments, embodying a unique dual identity as both musicians and soldiers.",[],,,not found,not found,male,no,no,yes,yes
Donald K. 'Deke' Slayton Memorial Highway,Donald K Deke Slayton,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
84th Division 'Railsplitters' Memorial Highway,84th Division Railsplitters,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
57th Field Artillery Brigade Memorial Highway,57th Field Artillery Brigade,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Frank Lloyd Wright Memorial Highway,Frank Lloyd Wright,highway,,,,,,,,,,,architect,,male,1867-06-08,1959-04-09,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,"Frank Lloyd Wright was an American architect born on June 8, 1867, in Richland Center, Wisconsin, and died on April 9, 1959. He is widely regarded as one of the greatest architects of the 20th century, pioneering the 'organic architecture' movement and designing over 1,000 structures, including iconic works like Fallingwater and the Guggenheim Museum. Wright began his career under Louis Sullivan in Chicago and later founded his own practice, influencing modern architecture globally. His innovative designs emphasized harmony between human habitation and the natural environment, leaving a lasting legacy in architectural history.","University of Wisconsin–Madison (1885–1887, no degree)",1867-06-08,1959-04-09,"Richland Center, Wisconsin, United States","Phoenix, Arizona, United States",male,no,no,no,no
Gaylord Nelson Highway,Gaylord Nelson,highway,,,,,,,,,,,politician,,male,1916-06-04,2005-07-03,https://en.wikipedia.org/wiki/Gaylord_Nelson,"Gaylord Nelson was born on June 4, 1916, in Clear Lake, Wisconsin, and became a prominent American politician and environmentalist. He served as a U.S. Senator from Wisconsin (1963–1981) and was the founder of Earth Day, first celebrated in 1970, which significantly raised global awareness about environmental issues. Prior to his Senate career, he was the 35th Governor of Wisconsin (1959–1963) and a state legislator, advocating for progressive policies like conservation and public education. Nelson died on July 3, 2005, leaving a legacy as a pioneering figure in the modern environmental movement.","San Jose State University, Bachelor of Arts (1939), University of Wisconsin Law School, Law Degree (1942)",1916-06-04,2005-07-03,"Clear Lake, Wisconsin, United States","Kensington, Maryland, United States",male,no,yes,yes,no
Georgia O’Keeffe Memorial Highway,Georgia OKeeffe,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Governor Nelson Dewey Memorial Highway,Governor Nelson Dewey,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
