state,highway_name,route_no,from_location,to_location,county,person_name,wikipedia_url,match_confidence,validated,validation_notes,correct_person,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score
New Hampshire,Blue Star Memorial Highway,I-95,Massachusetts–New Hampshire boundary in Seabrook,New Hampshire–Maine boundary in Portsmouth,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Delaware,John F. Kennedy Memorial Highway,I-95 / I-295,Delaware Memorial Bridge,Maryland state line,,John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,55.0,true,seq=20.0; human:+40; state-miss(Delaware):-10; us:+5,true,"John F. Kennedy was born on May 29, 1917, in Brookline, Massachusetts, and served as the 35th President of the United States from 1961 until his assassination in 1963. He was a decorated veteran of World War II, having commanded PT-109 in the Pacific theater. His presidency was marked by the Cuban Missile Crisis, the establishment of the Peace Corps, and the initiation of the Apollo space program. He is remembered as a pivotal figure in American history whose leadership shaped the Cold War era.","['Harvard University', 'Bachelor of Arts', 'Stanford Graduate School of Business']",1917-05-29,1963-11-22,"Brookline, Massachusetts, United States","Dallas, Texas, United States",male,no,yes,yes,no,,,,,,,,,,
Delaware,Korean War Veterans Memorial Highway,,,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Washington,American Veterans Memorial Highway,I-90,Junction with SR 5 in Seattle,Washington-Idaho boundary line,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Washington,Erwin O. Rieger Memorial Highway,SR-501,N.W. Lower River Road (northerly junction),Ridgefield city limits,,Erwin O. Rieger,https://en.wikipedia.org/wiki/Fred_Upton,55.0,true,seq=3.2; last-mismatch:-4; human:+40; state(Washington):+10; us:+5,false,"[UNVERIFIED] The highway is named 'Erwin O. Rieger Memorial Highway' in Washington, but the Wikipedia article is for 'Fred Upton', a U.S. Representative from Michigan. The names do not match, and there is no indication that Fred Upton is connected to Washington or the memorial highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Washington,Spirit Lake Memorial Highway,SR-504,Junction with SR 5 north of Castle Rock,Former Spirit Lake,,Spirit Lake,https://en.wikipedia.org/wiki/Harry_R._Truman,55.0,true,seq=4.6; last-mismatch:-4; human:+40; state(Washington):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text appears to be a generic Wikipedia interface and does not contain any biographical information about Harry R. Truman. The Spirit Lake Memorial Highway in Washington is named after Harry R. Truman, who was a notable local figure and innkeeper who died in the 1980 Mount St. Helens eruption. Without biographical content in the snippet, it cannot be confirmed as the correct article.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Wyoming,Wyoming Veterans Memorial Highway,US-14A,Cody city boundaries,Powell city boundaries,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Wyoming Vietnam Veterans Welcome Home Highway,I-25,Colorado-Wyoming border,Buffalo (terminus),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Wyoming Women's Suffrage Pathway,WY-28,Fremont County line,Shoshone National Forest boundary,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Johnny Cash Memorial Highway,AR-17,Dyess,Wilson,,Johnny Cash,https://en.wikipedia.org/wiki/Johnny_Cash,75.0,true,seq=20.0; human:+40; state(Arkansas):+10; us:+5,true,"Johnny Cash was born on February 26, 1932, in Kingsland, Arkansas, and became a legendary American singer-songwriter known as the 'Man in Black.' He was famous for his deep, commanding voice and hits like 'I Walk the Line' and 'Ring of Fire.' Cash was a pivotal figure in country music, influencing multiple genres and earning inductions into the Country Music, Rock and Roll, and Gospel Halls of Fame. He died on September 12, 2003, in Nashville, Tennessee, leaving a lasting legacy in music history.",[],1932-02-26,2003-09-12,"Kingsland, Arkansas, United States","Nashville, Tennessee, United States",male,no,no,no,yes,,,,,,,,,,
