id,state,highway_name,route_no,from_location,to_location,county,person_name,tier,normalized_routes,parsed_from,parsed_to,parsed_county,from_lat,from_lon,from_geocode_source,to_lat,to_lon,to_geocode_source,centroid_lat,centroid_lon,centroid_source,status,confidence,path_length_miles,path_source,error_notes
1,New Hampshire,Blue Star Memorial Highway,I-95,Massachusetts–New Hampshire boundary in Seabrook,New Hampshire–Maine boundary in Portsmouth,,,1,"[{""type"": ""interstate"", ""ref"": ""I 95""}]",Massachusetts–New Hampshire Seabrook,New Hampshire–Maine Portsmouth,,42.8729119,-70.816861,photon,43.0767202,-70.7571294,photon,42.97481605,-70.7869952,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
2,Delaware,John F. Kennedy Memorial Highway,I-95 / I-295,Delaware Memorial Bridge,Maryland state line,,John F. Kennedy,1,"[{""type"": ""interstate"", ""ref"": ""I 95""}, {""type"": ""interstate"", ""ref"": ""I 295""}]",Delaware Memorial Bridge,Maryland state line,,39.6884507,-75.5186396,photon,39.6602535,-75.7532602,photon_border,39.6743521,-75.6359499,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
3,Delaware,Korean War Veterans Memorial Highway,,,,,,6,[],,,,,,,,,,39.318523,-75.507141,state_centroid,centroid_found,very_low,,,phase3: osm_name: no result | osrm: no result or missing endpoints
4,Washington,American Veterans Memorial Highway,I-90,Junction with SR 5 in Seattle,Washington-Idaho boundary line,,,1,"[{""type"": ""interstate"", ""ref"": ""I 90""}]",SR 5 in Seattle,Washington-Idaho boundary line,,47.6086912,-122.3397857,nominatim,34.0401717,-118.3292309,photon_border,40.824431450000006,-120.3345083,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
5,Washington,Erwin O. Rieger Memorial Highway,SR-501,N.W. Lower River Road (northerly junction),Ridgefield city limits,,Erwin O. Rieger,1,"[{""type"": ""state_route"", ""ref"": ""SR 501""}]",N.W. Lower River Road,Ridgefield,,47.200158,-122.2976352,photon,45.8167616,-122.7433775,photon,46.5084598,-122.52050635,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
6,Washington,Spirit Lake Memorial Highway,SR-504,Junction with SR 5 north of Castle Rock,Former Spirit Lake,,Spirit Lake,1,"[{""type"": ""state_route"", ""ref"": ""SR 504""}]",SR 5 north of Castle Rock,Former Spirit Lake,,46.2739907,-122.904918,nominatim_retry,,,,46.2739907,-122.904918,from_point,centroid_found,medium,,,phase2: to 'Former Spirit Lake': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
7,Wyoming,Wyoming Veterans Memorial Highway,US-14A,Cody city boundaries,Powell city boundaries,,,1,"[{""type"": ""us_route"", ""ref"": ""US 14A""}]",Cody,Powell,,44.5263107,-109.056392,photon,44.752873,-108.75902,photon,44.63959185,-108.907706,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
8,Wyoming,Wyoming Vietnam Veterans Welcome Home Highway,I-25,Colorado-Wyoming border,Buffalo (terminus),,,1,"[{""type"": ""interstate"", ""ref"": ""I 25""}]",Colorado-Wyoming border,Buffalo,,33.7126385,-117.7895897,photon_border,44.3480865,-106.699287,photon,39.030362499999995,-112.24443835,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
9,Wyoming,Wyoming Women's Suffrage Pathway,WY-28,Fremont County line,Shoshone National Forest boundary,,,1,"[{""type"": ""state_route"", ""ref"": ""WY 28""}]",Fremont County line,Shoshone National Forest boundary,,42.7070729,-108.5485256,photon,33.7124435,-117.7899988,photon_border,38.209758199999996,-113.1692622,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
10,Arkansas,Johnny Cash Memorial Highway,AR-17,Dyess,Wilson,,Johnny Cash,1,"[{""type"": ""state_route"", ""ref"": ""AR 17""}]",Dyess,Wilson,,35.5898026,-90.2134287,photon,35.569201,-90.0445018,photon,35.5795018,-90.12896525,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
11,Arkansas,Levon Helm Memorial Highway,US-49,Marvell,Helena,,Levon Helm,1,"[{""type"": ""us_route"", ""ref"": ""US 49""}]",Marvell,Helena,,34.5561645,-90.9114996,photon,34.5558857,-90.6527001,photon,34.5560251,-90.78209985000001,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
12,Arkansas,Louis Jordan Memorial Highway,US-49,Brinkley,Marvell,,Louis Jordan,1,"[{""type"": ""us_route"", ""ref"": ""US 49""}]",Brinkley,Marvell,,34.8878719,-91.1945688,photon,34.5561645,-90.9114996,photon,34.7220182,-91.0530342,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
13,Arkansas,Sister Rosetta Tharpe Memorial Highway,AR-17,Cotton Plant,Brinkley,,Sister Rosetta Tharpe,1,"[{""type"": ""state_route"", ""ref"": ""AR 17""}]",Cotton Plant,Brinkley,,35.0034813,-91.2501639,photon,34.8878719,-91.1945688,photon,34.9456766,-91.22236635,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
14,Arkansas,Americana Music Highway,US-61,West Memphis,Blytheville,,Americana Music,1,"[{""type"": ""us_route"", ""ref"": ""US 61""}]",West Memphis,Blytheville,,35.1464797,-90.1845388,photon,35.9283249,-89.9045612,photon,35.5374023,-90.04455,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
15,Alaska,Edgerton Highway,,Richardson Highway,Chitina,,,5,[],Richardson Highway,Chitina,,62.7478093,-145.4502941,photon,61.5262635,-144.3182242,photon,62.1370364,-144.88425915,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
